时间,主题,内容
1月24日 14:13,#微信黄脸表情会动了#,盘点那些表情的隐藏含义，山竹们都get到了吗？还有哪些你发现的隐藏含义呢？
1月24日 13:21,#山大放映室#,【TED：这些城市是这样为交通“排毒”的】Monica Araya带领我们周游世界各地的城市，这些城市正努力在未来十年内实现交通系统的全面电动化，并转向零排放的摩托车、汽车、公共汽车、渡轮等。一起来看看没有内燃机的未来会是什么样子吧！  LTEDNews的微博视频 （via@TEDNews）
1月24日 12:14,#每日山问#,今日科普】 R山东大学的微博投票
1月24日 10:26,#百廿故事，山大星辰#,"春秋迭代，初心如磐。百廿山大，历经风霜洗礼；万千俊才，矢志强校兴国。让我们一起望璀璨星辰，表吾辈敬意，汇磅礴力量。
卢振华(1911.1.8-1979.3.3)--湖北红安人。历史学家，中国古代史、《史记》研究专家。1946年起山东大学历史系任教-- 曾任亚洲史教研室、中国古代史教研室主任 ...展开全文c"
1月24日 08:56,#新技能get√#,从开题到答辩，你一定用得到的论文技巧！ 山竹们快🐴起来吧！（via@人民日报）
1月24日 07:23,#早安，山大！#,"
我喜欢冬天的阳光，在迷茫的晨雾中展开。我喜欢那份宁静淡远，我喜欢那没有喧哗的光和热。那种原始而淳朴的意象总深深地感动着我的心。——张晓风

早"
1月23日 22:44,#山大心语#,"
每一代人都有他们各自的悲欢。对年轻的一代人来说，重要的是去理解而不是批评责备。
——《江城》

晚安"
1月23日 21:44,#姗姗话题圈#,坦白局！让姗姗看看谁还没睡觉！山竹们放假后的平均睡眠时长都是几个小时呢？
1月23日 20:05,#FM.1901#,"北京时间20：05，让音乐传递你我的心声，欢迎收听山东大学音乐电台FM.1901，我是主播姗姗。
今天播送的是@胖橘叻 推荐的曲目——由周深演唱的《无所畏惧》。
她的推荐理由是：首先因为很喜欢里面的一句歌词：“我怕星辰会淹没夜空，就像我怕一生都追不到那些梦。你的眼神，无条件信任 ...展开全文c"
1月23日 18:04,#每日山问#,"日科普知识问答～
哺乳动物是最高等的脊椎动物，靠母体的乳腺分泌乳汁哺育初生幼体。 R山东大学的微博投票"
1月23日 14:05,#山大书屋#,"世界名著里最经典的100句话】
生无所息，阅读不止。有些道理，经典名著早就告诉我们了。
姗姗在这里码给大家，经典中的精华，快快转发收藏吧！
（via：@经典书籍推荐）"
1月23日 12:40,#山大放映室#,
1月23日 11:35,#姗姗话题圈#,微信推出动态黄脸表情啦，你最爱用的微信/微博表情是什么呢？姗姗先来
1月23日 09:51,#百廿故事，山大星辰#,"春秋迭代，初心如磐。百廿山大，历经风霜洗礼；万千俊才，矢志强校兴国。让我们一起望璀璨星辰，表吾辈敬意，汇磅礴力量。
尚钺（1902.3.23-1982.1.6)--河南罗山人。历史学家、作家、教育家，中国科学院学部委员。1947-1948年临沂山东大学教授。"
1月23日 08:40,#早安，山大！#,"
我拥有的唯一支撑就是尽力让自己清醒地明白一切都是短暂的，你之所以爱一些东西正是因为它们是飞逝的、短暂的。我慢慢地明白，爱并不像我一直想象的那样是占有，爱更多的是失去。
——肯·威尔伯

早安"
1月13日 22:43,#山大心语#,"
请你，负担起对自己的责任来，要活得热烈而起劲。每一天，活得踏实，将分内的工作，做到尽自己能力之内的完美，就无愧天地。
——三毛

晚安"
1月13日 21:55,#山大放映室#,"9.1分史诗纪录片《天地玄黄》
花费14个月，走遍了六大洲的24个国家，用镜头记录大自然最壮阔绚丽的景致，带来视觉与听觉的双重震撼！
被誉为称为『二十世纪最伟大的纪录片』！洗涤心灵之作，姗姗建议先马在看！ L每日纪录片推荐的微博视频 （via@每日纪录片推荐）"
1月13日 20:52,#每日山问#,【英语“译”站 】 R山东大学的微博投票
1月13日 18:24,#山大放映室#,【TED：你的遗传基因、文化、历史会如何影响你的健康？】生物人类学家 Lara Durgavich介绍“演化医学”。当你面临一些疾病的潜在威胁的时候，也许可以在你的祖先进化的轨迹中找到答案。而了解自己的演化史，也能帮助你对自己未来的健康有更多规划哦！快和姗姗一起来看看吧！（via ...展开全文c
1月13日 16:14,#百廿故事，山大星辰#,"春秋迭代，初心如磐。百廿山大，历经风霜洗礼；万千俊才，矢志强校兴国。让我们一起望璀璨星辰，表吾辈敬意，汇磅礴力量。
胡鸣盛（1886-1971.10.30）-- 湖北应城人。文史学家、教育家，经学、训诂、版本、校勘专家，曾任故宫博物院特询委员。1935-1936年国立山东大学文学院教授兼 ...展开全文c"
1月13日 15:25,#每日山问#,【今日科普】 R山东大学的微博投票
1月13日 14:48,#山大书屋#,"《三字经》逐句解释的完整版！
（via@人民日报）"
1月13日 12:17,#姗姗话题圈#,你的家乡气温现在是多少度呢？
1月13日 10:10,#新技能Get√#,实用的排版布局形式参考，有需要的山竹们抓紧🐴起来吧！（via@设计青年）
1月13日 09:28,#早安，山大！#,"
要想学到本事，只有一种方式，那就是行动！——《牧羊少年奇幻之旅》

早安"
1月12日 21:41,#山大心语#,"黑夜无论怎样悠长--白昼总会到来。

——莎士比亚

晚安哦"
