时间,主题,内容
2020-11-23 07:47,#早安，山大！#,"
日子虽然普普通通，但我要生活在美之中。
——毛姆

早安"
2020-11-22 23:04,#山大心语#,"松枝上，
露滴晶光闪亮，
好像绿漆的宝塔，
挂满银铃铛。
——顾城
...展开全文c"
2020-11-22 18:57,#每日山问#,语“一衣带水”中的“水”原指什么？ R山东大学的微博投票
2020-11-22 15:20,#新技能get√#,00个成语俗语的英文翻译来啦！姗姗先帮大家收藏啦！（via@人民日报）
2020-11-22 12:15,#山大书屋#,【18本经典人物传记】忙碌之余也不要忘记给自己充充电呀！（via@百科精灵）
2020-11-22 10:59,#姗姗话题圈#,家的宿舍群聊名称是什么呢？
2020-11-22 07:32,#早安，山大！#,"在出生时我们所没有的东西，
在成长时我们所需要的东西，
全部都要通过教育赐予我们。
---卢梭

小山竹们早上好~"
2020-11-21 23:18,#山大心语#,"我走过的漫长的道路并不总是铺着玫瑰花的，有时也荆棘丛生。——季羡林
晚安💤"
2020-11-21 21:27,#新技能get√#,"这份计算机二级考试Word考点总结干货姗姗已经帮你码住了。
快get起来吧！
（via.@高考直通车）"
2020-11-21 20:22,#山大书屋#,【有趣的回环诗】《回文诗》，也写作“爱情诗”“回环诗”。它是汉语特有的一种使用词序回环往复的修辞方法，文体上称之为“回文体”，和姗姗一起看看吧。（via.@最美古风古诗词）
2020-11-21 18:12,#每日山问#,文化常识小测试：下面哪一位不是元曲四大家？ R山东大学的微博投票
2020-11-21 17:49,#姗姗话题圈#,微信新表情你用上了吗？你最喜欢用哪个表情呢
2020-11-21 15:57,#新技能Get√#,
2020-11-21 15:07,#山大放映室#,【这手艺！
2020-11-21 13:32,#新技能get√#,"32个最基础的PS快捷键使用指南赶快码起来吧！
（via.@学霸课长）"
2020-11-21 12:09,#姗姗话题圈#,说说你现在的手机电量是多少，有一样的可以打个招呼啊～姗姗是60％
2020-11-21 10:16,#山大书屋#,"《雨》，马来西亚作家黄锦树写的中文小说
书里满满都是热带雨林的潮湿感，暴雨冲刷过几段历史，还有无数人的梦境。和姗姗一块来阅读吧。（via.@PoemsForYou）"
2020-11-21 09:08,#山大放映室#,【时间就是生命！
2020-11-21 07:55,#早安，山大！#,"“每个人心里都有一团火，路过的人只看到烟。”———梵高
早安呀"
2020-11-20 23:17,#山大心语#,"
对于你，
我犹如黑夜，小花朵儿。
我能给你的，
只是掩藏在夜色里的安宁和不眠的静谧。
——泰戈尔《游思集》...展开全文c"
2020-11-20 22:09,#山大放映室#,"【治愈助眠环境音《下雪天的日本居酒屋》】
姗姗太喜欢这个氛围了！一只小鹿驻足于童话般的雪景之中，耳边萦绕的飘雪声、风声，还有时不时的倒酒声，仿佛身临其境，说不出的舒适惬意
O网页链接
（视频Via@总裁视野）"
2020-11-20 21:07,#姗姗话题圈#,小山竹们，你在图书馆最近借阅的一本书是什么？好看的话也可以互相分享安利一下哦~
2020-11-20 20:08,#每日山问#,今日的问题是英语小知识，小山竹们知不知道“duck soup”是什么意思呢？ R山东大学的微博投票
2020-11-20 19:03,#山大资讯#,"在11月17日-19日举行的第六届中国国际“互联网+”大学生创新创业大赛全国总决赛中，山东大学参赛队伍再创佳绩！
经过激烈的网络评审、复赛会评、金奖争夺赛、三强争霸等环节，山东大学的参赛队伍获金奖1项，获银奖3项、铜奖3项。山东大学凭借优异成绩获得高校先进集体奖。在本次大赛中我校 ...展开全文c"
2020-11-20 16:20,#山大书屋#,"当我们步履有限而世界无限时，纪录片像是一个“云窗口”带着我们感知这个多彩世界的不同块面。
整理了近期看过的或正在看的纪录片，想与山竹们一起看看不同的世界。
（图Via@PoemsForYou）"
2020-11-20 13:42,#每日山问#,姗姗来科普一下~聪明的你知不知道下列不属于古代四大才女的是？ R山东大学的微博投票
2020-11-20 12:20,#新技能Get√#,"【这些实用小技巧，你都知道吗？】
①Word显示修改痕迹：审阅—修订—显示标记—批注框—在批注框中显示修订；
②PPT转成Word：F12—保存类型—大纲/RTF文件—保存；
③Excel 数据复制到Word：F12—保存类型—网页文件—保存—打开Excel—文件 / 打开 / 这台电脑—选择网页文件… ...展开全文c"
2020-11-20 11:04,#姗姗话题圈#,小山竹们打出“我看见”，然后一直点击第一个字直到结束，让姗姗康康你们都看见了什么小秘密呢~
2020-11-20 09:16,#山大放映室#,"纪录片《早餐中国》暖胃更新！
第三季的播出，也是这部神仙纪录片百集完结倒计时。温暖的早餐不但治愈在场食客的胃，也治愈着观众的心。目前已公开的早餐有：山西长治猪汤、浙江舟山海鲜面、甘肃张掖小饭、河北河间驴肉火烧、广州猪手牛腩炸酱伊面、武汉三线豆皮...你的家乡早餐出现在《 ...展开全文c"
2020-11-20 08:08,#早安，山大！#,"
我总是在过往的岁月里眺望远方的事物，
眺望那远方里的华光，广阔，芬芳。
——杜涯

早呀"
2020-11-19 22:51,#山大心语#,"
简单就是终极的复杂。——列奥纳多·达·芬奇

晚安，好梦～"
2020-11-19 20:31,#新技能get√#,"给山竹们推荐一个三秒缓解肩颈酸痛的运动，久坐的上学人必备！随时随地，感觉不舒服肩颈僵硬酸痛立马就能做两组～简单有效，快马起来吧！（via自律打卡孙叨叨）
L自律打卡孙叨叨的微博视频"
2020-11-19 19:38,#姗姗话题圈#,今天来评选2020年度最喜欢的BGM吧🏆
