网址,标题,时间戳
https://search.cctv.com/link_p.php?targetpage=http://news.cctv.com/2019/07/12/ARTIKBepqOa1A61EVa7oXTrB190712.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D3,"山东大学
1个留学生配3个异性学伴?师生:为友好交流",2019-07-12 10:24:24
https://search.cctv.com/link_p.php?targetpage=http://news.cntv.cn/2013/03/24/ARTI1364085858457773.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D3,"山东大学
劝退97名本科生 专家：高等教育应有淘汰制",2013-03-24 08:47:04
https://search.cctv.com/link_p.php?targetpage=http://news.cntv.cn/2013/01/25/ARTI1359075414248241.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D3,"山东大学
期末考18分大题：选出最常翘课3名同学",2013-01-25 08:57:36
https://search.cctv.com/link_p.php?targetpage=https://news.cctv.com/2021/03/16/ARTIIa1yTjsFBoquaQJcty2p210316.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D3,助力产品和服务质量提升 服务经济社会高质量发展,2021-03-16 11:17:35
https://search.cctv.com/link_p.php?targetpage=http://news.cntv.cn/2016/01/31/ARTIidNU1omxEbiTBRfP3wYP160131.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D3,"山东大学
硕士毕业论文抄袭事件：揭高校论文查重漏洞",2016-01-31 04:48:21
https://search.cctv.com/link_p.php?targetpage=https://auto.cctv.com/2021/02/26/ARTIO3RHKXpuheYAMEyiuC1T210226.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D4,宝能汽车密集引入高端人才 原北汽零部件平台总裁陈宝加盟,2021-02-26 10:11:23
https://search.cctv.com/link_p.php?targetpage=http://news.cctv.com/2017/10/10/ARTI1J2GNJwFt0nzXHQIYOKP171010.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D4,"耗时5天半历经567公里 两名
山东大学
生轮滑到北京",2017-10-10 04:40:37
https://search.cctv.com/link_p.php?targetpage=https://sh.cctv.com/2021/03/08/ARTIfAxTOudYjIG174LCn34R210308.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D4,全国两会·话筒给上海｜冯丹龙员：建议加强预防接种人员队伍建设,2021-03-08 13:55:48
https://search.cctv.com/link_p.php?targetpage=http://tv.cctv.com/2016/12/26/ARTILb6RTNQrF9D45Usvdwec161226.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D4,"《两岸及港澳大学辩论赛——世界听我说》复赛第三场：
山东大学
队VS台湾中山大学队",2016-12-26 14:46:20
https://search.cctv.com/link_p.php?targetpage=https://news.cctv.com/2021/02/02/ARTIdOdYuZWy7HixGbwF6E4O210202.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D4,人物简介：胡昌升,2021-02-02 12:41:01
