网址,标题,时间戳
https://www.toutiao.com/group/6871564608025559559/&list_entrance=search&root_category_name=search,喜迎开学季！山东大学迎来上万名2020级新生, 闪电新闻 ⋅ 12评论 ⋅ 6月前
https://www.toutiao.com/group/6820405296712647172/,山东大学，牛了，率先推出了微专业，号称专业中的专业, 高校专业那些事 ⋅ 3评论 ⋅ 10月前
https://www.toutiao.com/group/6925229043935609352/,山东大学新增4个拔尖2.0基地, 光明网 ⋅ 2评论 ⋅ 1月前
https://www.toutiao.com/group/6776451731074056715/,山东大学再次出现论文问题被教育部约谈，有人却主张废除论文制, 指尖教育帝国 ⋅ 0评论 ⋅ 1年前
https://www.toutiao.com/group/6934627461087003150/,山大新增3个本科专业 这个专业有望成为该校“王牌”专业, 光明网 ⋅ 5评论 ⋅ 13天前
https://www.toutiao.com/group/6384413449855025409/,山东大学拟迁主校区引发校友争议, 新京报 ⋅ 3评论 ⋅ 4年前
https://www.toutiao.com/group/6912208308803731975/,再创佳绩！山东大学获批国家社科基金立项数全国第三, 全国产经平台 ⋅ 1评论 ⋅ 2月前
https://www.toutiao.com/group/6748348140581028364/,山东大学将如何通过相当一段时间的努力，建成世界一流大学？, 齐鲁壹点 ⋅ 402评论 ⋅ 1年前
https://www.toutiao.com/group/6907411045397217800/,山东大学（威海）2020全国各省各批分专业录取分数+人数, 麦麦谈教育 ⋅ 0评论 ⋅ 2月前
https://www.toutiao.com/group/6875134773363212814/,山大校长寄语2020级新生：传承山大基因，做有担当的山大人, 齐鲁壹点 ⋅ 13评论 ⋅ 5月前
https://www.toutiao.com/group/6855959508498416139/,深度：当年山东大学为何没有迁往河南，郑州大学又是如何建立的？, 逆流时代 ⋅ 125评论 ⋅ 7月前
https://www.toutiao.com/group/6731673914964967939/,山东大学正式开学，上万名新生报到，4个校区男女比例让人羡慕, 教育有故事 ⋅ 37评论 ⋅ 1年前
https://www.toutiao.com/group/6747978450360861198/,到2021年，山东大学12个左右学科进入国际主流排名前100, 齐鲁壹点 ⋅ 4评论 ⋅ 1年前
https://www.toutiao.com/group/6809628831545033229/,拜托！别再嘲笑山东大学了！, 半岛居 ⋅ 438评论 ⋅ 11月前
https://www.toutiao.com/group/6871400850057593357/,“萌新”报到！山东大学迎来上万名2020级新生, 闪电新闻 ⋅ 16评论 ⋅ 6月前
